headword,headword_raw,translation
კიბე,kibe,"staircase, ladder"
იშაულარი,iSaulari,"staircase, ladder"
კიბო,kibo,cancer
სიმსიმნე,simsimne,cancer
ქოთ,qoT,even
ხე,xe,limb of a human and animals
რკია,rkia,to scream
შეკითხირი,SekiTxiri,to ask
კითხირი,kiTxiri,to read
პეტელი,peteli,to bleat
დახე,daxe,almost
კირტაფა,kirtafa,to squabble
ჭაჭუა,WaWua,to bind
კინტორა,kintora,meticulous
კარკაცი,karkaci,ringing laughter
კისრება,kisreba,to take responsibility for smth
კისერიშ,kiseriS,to do smth. extremely fast
კინტირუშქური,kintiruSquri,a type of an apple
კინტირი,kintiri,cucumber
ღიროკუა,Rirokua,to twist
ღიროკილი,Rirokili,twisted
ჯღვაიკი,jRvaiki,claw
კირდე,kirde,rock
კირდე,kirde,rocky place
რკება,rkeba,to decrease
კილა,kila,lock
ზადუა,zadua,to season
ბაღება,baReba,to be enough
ყმაყოფილი,ymayofili,satisfied
კუმაფა,kumafa,to incense
ჸვია,Yvia,to meow
ხვატუა,xvatua,to crunch
ცინდალი,cindali,kitten
კიდუ,kidu,woodpecker
კოდორე,kodore,woodpecker
კოდი,kodi,large wooden container
კიზი,kizi,spoon
კოზი,kozi,spoon
მოლი,moli,rye-grass
კოკა,koka,pitcher
ფოხალი,foxali,pitcher
კოკური,kokuri,heavy
კოკაშორო,kokaSoro,heavy
კოშტი,koSti,clot
ტკვინტკვი,tkvintkvi,clot
ლახანა,laxana,cabbage
კილი,kili,bunch of flowers or herbs
კირუა,kirua,bunch of flowers or herbs
კონჩხი,konCxi,cape
კვანწილი,kvanwili,elegant
კვანწილუა,kvanwilua,to coquet
კირტონი,kirtoni,to peck
კენტეხი,kentexi,hillock
კვანჯღი,kvanjRi,corn
კვაჟი,kvaJi,corn
კოღონა,koRona,mosquito
ყორში,yorSi,tower
ჯუნა,juna,to kiss
დაჩხირი,daCxiri,bonfire
კონწახური,konwaxuri,barberry
კეჭობუა,keWobua,to play knucklebones
კანჭალა,kanWala,lame
ქულა,qula,lame
ქულუა,qulua,lameness
კვაზალა,kvazala,elegant
მაწჷრღია,mawLrRia,wasp
კრამეტი,krameti,tile
ჭკირჭკინი,WkirWkini,to gnash
კორობუა,korobua,to gather
ოკათეში,okaTeSi,"assembly, meeting"
კათელი,kaTeli,collection
წილუა,wilua,to pick
ღაჭუა,RaWua,hair to cut
შქურინაფა,Squrinafa,to fright
ვარვალი,varvali,shiny
ვარვალი,varvali,to shine
კრიხინი,krixini,to cackle
კრინტი,krinti,"slight"" sound"
ნოჸორი,noYori,mouth
კუსა,kusa,to groan
კურტინი,kurtini,to purr
მონჭვა,monWva,brood-hen
მოჭვა,moWva,brood-hen
მოვარაფა,movarafa,to forbid
კუ,ku,turtle
კუბო,kubo,coffin
ჭკუჯი,Wkuji,coffin
უკუდელე,ukudele,animal with a short tail or without it
კუდელბირძღალი,kudelbirZRali,stuck-up
პუხუ,puxu,hump
კუთნება,kuTneba,to belong
მუხური,muxuri,"angle, corner"
კუნთხუ,kunTxu,"angle, corner"
კუმშუა,kumSua,to compress
უკუმელა,ukumela,very dark
ურწკუმი,urwkumi,very dark
ქუნცა,qunca,hawthorn
ხინჭკი,xinWki,hawthorn
კუნთი,kunTi,muscle
კიჭიბე,kiWibe,smb. whose muscles are very strong
კიჭიბია,kiWibia,muscular
კვაკვალი,kvakvali,tottering
ტირკონი,tirkoni,to gambol
როგო,rogo,log
ჩქონი,Cqoni,island
კოკი,koki,island
კოჭოჭი,koWoWi,small corner
კურო,kuro,uncastrated bull
ხოჯიკია,xojikia,uncastrated bull
ჸურდგელი,Yurdgeli,rabbit
ხვამა,xvama,to bless
კურთხებული,kurTxebuli,blessed
წკა,wka,pit
კირკოლა,kirkola,excrement
კინკორა,kinkora,excrement
ფურცქინუა,furcqinua,to court
კურტუმო,kurtumo,bird's rump
კუნტი,kunti,paraplegic
ჯურჯანი,jurjani,"Georgian meal, which is prepared with herbs and innards of a hen"
ლაგამი,Iagami,bridle
გენწყუალა,genwyuala,to put
ლავაში,lavaSi,thin and long bread
ლაბერწი,laberwi,collarbone
ღერღეტი,RerReti,joker
ინოღერღეტუა,inoRerRetua,joking
ლაილაი,lailai,endless talk
ლალი,lali,ruby
სქვამი,sqvami,beautiful
კოჭობი,koWobi,torch
ნისორი,nisori,dish
აგაგა,agaga,shadow
ლანდი,landi,shadow
ნარჩა,narCa,sole
რაგადი,ragadi,to talk
პარპალი,parpali,to shine
კაკუტი,kakuti,long thin timber
ლოფო,lofo,thin mud
ოლენტყეში,olentyeSi,thin mud
ლაბშა,labSa,castrated horse
ლაქაში,laqaSi,reed-mace
ჭენჭყო,WenWyo,reed-mace
ლაქი,laqi,varnish
რაკვალი,rakvali,to chatter
ფურსოლაფა,fursolafa,to court
ლაღი,laRi,"free, proud, bold"
თავისფალი,Tavisfali,"free, proud, bold"
ლაფში,lafSi,lip
ლაშქარი,laSqari,army
ნჯარი,njari,army
ლაშქუა,laSqua,"hiking, marching"
ჩხუპი,Cxupi,"hiking, marching"
შქვირენჯა,Sqvirenja,coward
ჩხინკოლ,Cxinkol-,sound of crashing
ჩხინკოლი,Cxinkoli,sound of slapping
დუდუმუსქირაფუ,dudumusqirafu,worthless young person
ლახვარი,laxvari,sword
ლახთაობა,laxTaoba,team game for boys
რახტიშ,raxtiS,team game for boys
ლახთი,laxTi,leather belt
რახტი,raxti,leather belt
ლებერი,leberi,cotyledon
ტუტაშფერი,tutaSferi,dark grey
ლები,lebi,mattress
ლაკვი,lakvi,puppy
წირკეშ,wirkeS,henbane
ლასირუა,lasirua,to sharpen
ლამი,lami,sediment
ლერსი,lersi,"verse, poem"
ლუღი,luRi,fig
ლეში,leSi,carrion
ლეჩექი,leCeqi,headscarf for a woman/ lady
ცახორცი,caxorci,headscarf for a woman/ lady
რეიცა,reica,railway track
ლიბერი,liberi,cataract
ვარკალი,varkali,usually sad about shaking of the water surface)
რკინა,rkina,metal
ლილა,lila,indigo dye
ლითანია,liTania,litany
ციტუ,citu,fry
ლებია,lebia,bean
ნორჩალი,norCali,"set for a bed: a pillow, a mattress, a sheet"
ლება,leba,to wait
ფერწო,ferwo,snail
ფერაფა,ferafa,to fuss over
ლასარი,lasari,icicle
ჯილო,jilo,lion
ლორი,lori,ham
ლეპი,lepi,mucus
ლეჭყვა,leWyva,mucus
ლოქო,loqo,sheat-fish
ღლამი,Rlami,sheat-fish
ლაგუა,lagua,to chew with difficulties
ღვანწკი,Rvanwki,cheek
ხვამა,xvama,to pray
ჸორადა,Yorada,to rot
ნანტებუ,nantebu,refugee
რტინაფილი,rtinafili,refugee
ლუკა,luka,morsel
სვირი,sviri,barrel
ლისმარი,lismari,nail
ლურჯი,Iurji,blue
ლუქი,luqi,sealing-wax
ბურდღინი,burdRini,to mumble
ლუწი,luwi,even
წყვილი,wyvili,even
რხინი,rxini,to enjoy
ოკმანწყუმელა,okmanwyumela,informer
მანგარი,mangari,hard
მანგიორო,mangioro,instead
მანგიორი,mangiori,substitute
მანგიორო,mangioro,instead of
თიჯგურა,Tijgura,"like that, like those"
მადა,mada,appetite
მადენი,madeni,ore
მარდი,mardi,kindness
მარდიანი,mardiani,kind
მარდიანობა,mardianoba,gratitude
მადლობა,madloba,thanks
მარდობა,mardoba,thanks
მადლობერი,madloberi,thankful
მიდგარენი,midgareni,somebody
მითინე,miTine,somebody
მახვეწებელი,maxvewebeli,suppliant
რსინა,rsina,wire
მარჩებელი,marCebeli,harmful
მოვნე,movne,harmful
ჭუმეშგეღანი,WumeSgeRani,after two days
მაზიარებელი,maziarebeli,giving/receiving communion
ოხორასქილსკუა,oxorasqilskua,child of a husband's brother
მართახი,marTaxi,lash
მაშუმაფალი,maSumafali,smth. that makes smb. drunk
მათხირი,maTxiri,beggar
მათხუალი,maTxuali,beggar
მათხუალობა,maTxualoba,begging
მაიმუნი,maimuni,monkey
მაიმუნობა,maimunoba,aping
იშენი,iSeni,"anyway, still, yet"
იშენით,iSeniT,"anyway, still, yet"
მარგატელი,margateli,scissors
მალამა,malama,ointment
მალას,malas,soon
ფულუა,fulua,to hide
წრაფი,wrafi,prompt
ჩქარი,Cqari,prompt
ტყობაშე,tyobaSe,hidden
ფულირი,fuliri,hidden
ბაბა,baba,father
მამაზეციერი,mamazecieri,God
ღორონთი,RoronTi,God
ქომოლკოჩი,qomolkoCi,man
მუმული,mumuli,cock
მუანთილი,muanTili,father-in-lawa husband's father
მუმა,muma,forefathers
მუმა,muma,father and son
მუმა,muma,relation between a father and a child
მამიდა,mamida,aunt
მამიდასქუა,mamidasqua,cousin
მუმაჸონერი,mumaYoneri,stepfather
მუმულია,mumulia,cockerel
ყვინჩილა,yvinCila,cockerel
ინოჸვინჩინი,inoYvinCini,attempt of showing skillfulness and courage
მუმალობა,mumaloba,fatherhood
მუმაშმანგიორი,mumaSmangiori,adoptive father
მუმალური,mumaluri,paternal
მუმაჯგუა,mumajgua,paternal
მამხილებელი,mamxilebeli,exposing
სოიშახ,soiSax,before
თექი,Teqi,there
მანდარინი,mandarini,tangerine
მიმანიშანებელი,mimaniSanebeli,pointer
მონუგეშე,monugeSe,comforting
იმენდიშ,imendiS,comforting
მანქანა,manqana,car
მანძილი,manZili,distance
მეძვენა,meZvena,distance
მაჭყვადალი,maWyvadali,devastating
მიკონახებული,mikonaxebuli,supplies
ირო,iro,eternally
ირიათონი,iriaToni,eternity
იროიანი,iroiani,eternal
მარანი,marani,wine cellar
მარგალიტი,margaliti,pearl
მარგებელი,margebeli,beneficial
ბარგუა,bargua,to weed
მასარი,masari,stake
ჩქარი,Cqari,fast
მართალი,marTali,righteous
ჸონაფა,Yonafa,to manage
ბარტყი,bartyi,offspring of a bird or an insect
დასურო,dasuro,really
ნანდულო,nandulo,"indeed, really"
მარაშინა,maraSina,Saint Mary's Day
მარიობა,marioba,Saint Mary's Day
მარაშინა,maraSina,August
ჯიმუ,jimu,salt
ჯიმუამი,jimuami,salty
ჯიმწყარი,jimwyari,brine
მარტი,marti,March
ადვილი,advili,simple
ხვალე,xvale,alone
ხვალახობა,xvalaxoba,loneliness
მაკითხე,makiTxe,fortune-teller
მაკითხობა,makiTxoba,to tell fortunes
კითხირი,kiTxiri,to tell fortunes
კაკალი,kakali,grain
კაკალამი,kakalami,grainy
კვარჩხანი,kvarCxani,left
მარცხი,marcxi,failure
კვარჩხანშე,kvarCxanSe,on the left
ციმუა,cimua,strawberry
პიჩვანი,piCvani,fast
მანჯიკი,manjiki,sledge
პიჩუა,piCua,to fast
მოხუჯური,moxujuri,adroit
მარძგვანი,marZgvani,right
მარძგვანშე,marZgvanSe,on the right
მასალა,masala,material
მაგურაფალი,magurafali,teacher
მოძინა,moZina,to add
მუნტური,munturi,worm
მონტყორი,montyori,wool
მეტყურია,metyuria,liar
გატყურია,gatyuria,liar
მაუდი,maudi,"broadcloth, cloth"
ქეჩა,qeCa,"broadcloth, cloth"
ამბეშ,ambeS,broadcaster
მაცქვაფალი,macqvafali,smb. who praises
მორღე,morRe,capable
მარქვი,marqvi,shuttle
კონკელი,konkeli,high
მაღალი,maRali,high
ლაკადური,lakaduri,mountainous
ლაკადაში,lakadaSi,mountainous
ჟიდო,Jido,above
მოხვარე,moxvare,rescuer
შულადირი,Suladiri,toiler
თიმწკალა,Timwkala,at that period of time
თიდროს,Tidros,at that period of time
თიმდღარი,TimdRari,smb./smth. of that period of time
მაწურაფალი,mawurafali,indicator
მუნჩქვი,munCqvi,badger
ამბეშ,ambeS,herald
მაცოცხალებერი,macocxaleberi,life-giving
მანცხვარი,mancxvari,"Jesus the Savior, the Savior"
მაცხოვარი,macxovari,"Jesus the Savior, the Savior"
მახორუ,maxoru,bread-winner
მაჩხონაფალი,maCxonafali,Savior
მაგორალი,magorali,seeker
რძღელი,rZReli,satiated
ყუათიანი,yuaTiani,nourishing
მარწვენი,marwveni,a sort of a yogurt in Georgia
მაჭყალი,maWyali,swearer
მაწყინებელი,mawyinebeli,harmful
მარებელი,marebeli,matchmaker
მაჭარი,maWari,new wine
მახათი,maxaTi,big needle
მახარებელი,maxarebeli,evangelist
მახარია,maxaria,smb. who tells good news
ძუა,Zua,trap
მახვეწებელი,maxvewebeli,supplicant
მაღულარი,maRulari,sword
კილამი,kilami,ugly
ხოლებერი,xoleberi,smth. that's near
ღვაბაია,Rvabaia,mole cricket
მანჯა,manja,wrist
მაჟვაბელა,maJvabela,nightmare
მარწკინალი,marwkinali,shining
ჩიება,Cieba,to tell
მაჭვიტაია,maWvitaia,flickering
მართუ,marTu,rotating
მაზოჯალი,mazojali,smb. hwo gives orders
ხენწიფე,xenwife,smb. hwo gives orders
მაღურჭულარი,maRurWulari,chorister
გერი,geri,wolf
მეშარე,meSare,passenger
მარგუალი,marguali,grieving
მემიჩქუდე,memiCqude,I think
გინაფილი,ginafili,sensitive
დარე,dare,of low quality
დგუმური,dgumuri,tenant
მათხოზინე,maTxozine,persecutor
ნდელო,ndelo,meadow
დიმდარი,dimdari,rich
მაალწყარი,maalwyari,river
სვისვალი,svisvali,silent
დუღა,duRa,boiling
ბებიაოსური,bebiaosuri,obstetrician
მანჯღვერი,manjRveri,guide
მაჸალე,maYale,friend
მედუქანე,meduqane,shop-keeper
მეეზოვე,meezove,yard-keeper
ეზოშ,ezoS,yard-keeper
მეძობელი,meZobeli,neighbor
მოარიკე,moarike,story-teller
მადუდური,maduduri,leader
მეჩხომე,meCxome,fisherman
მეთოლჸუჯე,meTolYuje,observer
მეარიკე,mearike,fabulist
მაკუჩხური,makuCxuri,first-foot
კომლი,komli,villager
მელა,mela,fox
მონძირი,monZiri,"heir, successor"
მეჯოგე,mejoge,shepherd
ჭყიში,WyiSi,shepherd
მალიმარი,malimari,warrior
მეოცნებე,meocnebe,dreamer
მექობალე,meqobale,baker
მუსხი,musxi,which one
მუზმა,muzma,which one
მერანი,merani,horse
რაში,raSi,horse
უკული,ukuli,afterwards
მერეხი,merexi,heavy rain
მელიქიფე,meliqife,smb. who pours the wine during a party
ჯაშგური,jaSguri,wood
მარჭიხოლი,marWixoli,swallow
მერხი,merxi,desk
მესათე,mesaTe,watch-maker
მესაფულე,mesafule,grave-digger
მეორინჯობა,meorinjoba,cattle-breading
მეტო,meto,"too, more"
მეტანია,metania,kneeling while praying
მიტანია,mitania,kneeling while praying
მეტი,meti,more
ნაბეტანი,nabetani,excessive
მატრაკვეცა,matrakveca,parvenu
მეტიჩარა,metiCara,parvenu
მეტნაკლებო,met-naklebo,more or less
მოტაბიკე,motabike,opponent
მეტყალე,metyale,forester
ტყაჩუ,tyaCu,forester
მარაგადე,maragade,expressive
მეტწილო,metwilo,mostly
მეტხანს,metxans,longer
მეურემე,meureme,carter
მეფანდურე,mefandure,"person, who plays on the panduri"
მაფობა,mafoba,reign
მეფობა,mefoba,reign
მესქალე,mesqale,apiarist
მებუკე,mebuke,apiarist
მეკოტუე,mekotue,potter
მედიარე,mediare,participant of a wedding party
მეკამპანიე,mekampanie,participant of a wedding party
მექუდე,mequde,hatter
მეღეჯე,meReje,swineherd
მეჩაიე,meCaie,tea grower
ჩაიშ,CaiS,tea grower
მეჩონგურე,meCongure,"person, who playes on the chonguri"
მარხა,marxa,sparse
შორდოშორს,SordoSors,sparse
მაცადინე,macadine,diligent
მეჯიხე,mejixe,guard
მეშხურე,meSxure,shepherd
ჭყეში,WyeSi,shepherd
წიარი,wiari,bloodhound
მეძვირე,meZvire,one who makes or sells smth. expensively
მაძუძური,maZuZuri,suckling
ტუფლეფიშ,tuflefiS,shoemaker
მაჭვალი,maWvali,milker
მეწისკვილე,mewiskvile,miller
მენწყერი,menwyeri,landslide
მეხანძრე,mexanZre,fire fighter
მეხი,mexi,thunder
მაცქვაფალი,macqvafali,panegyrist
მახსოვრობა,maxsovroba,memory
მეგურგინემორდია,megurginemordia,"bridesmaid, bridesman"
დადე,dade,"bridesmaid, bridesman"
მეცხენე,mecxene,stable-man
მაზაკვალი,mazakvali,sly
ბჟა,bJa,sun
ჩხანა,Cxana,sun
ზისნახე,zisnaxe,beauty
ბჟაშუძირაფუ,bJaSuZirafu,beauty
ჯინა,jina,to gaze
ბჟალარა,bJalara,sunny
ჩხანამი,Cxanami,sunny
მაზინდალი,mazindali,porter
მანთირალი,manTirali,porter
ბზითი,bziTi,dowry
ჭყუდა,Wyuda,dowry
მოჸინილი,moYinili,frozen and broken
გოლა,gola,mountain
გოლა,gola,mountain and plain
თარანგიოზი,Tarangiozi,archangel
მთავრობა,mTavroba,government
გოლაშა,golaSa,mountaineer
მათასალი,maTasali,sower
თუთა,TuTa,moon
თუთარჩელა,TuTarCela,moonlit
შუმილი,Sumili,drunk
გოლამი,golami,mountainous
მაცალარი,macalari,haymaker
ლაკადარი,lakadari,mountaineer
ედომუშამო,edomuSamo,entirely
თელი,Teli,entire
მარაგადე,maragade,teller
მათქუალი,maTquali,teller
ქილონუა,qilonua,to yawn
მათხუალი,maTxuali,"requesting, applicant"
მათხორალი,maTxorali,digger
მებარება,mebareba,to deposit
გვაგუა,gvagua,to beat
მიკოკირუა,mikokirua,to tie
მიკობინუა,mikobinua,to fasten
დორთა,dorTa,to go back
მეზოჯინაფა,mezojinafa,with honor to go
მებიჯაფა,mebijafa,to lean
მიკოჸოთამა,mikoYoTama,to cast
მიკოჸოთამილი,mikoYoTamili,casted away
აწოხვალამა,awoxvalama,to greet
მეჸონაფა,meYonafa,"to bring, to take"
მეჩქვაფა,meCqvafa,to send
მეგაფა,megafa,to find
მეკორკოლაფა,mekorkolafa,to roll
მიკოდვალა,mikodvala,to touch
ეკოთხოზინი,ekoTxozini,to pursue
რაჸუა,raYua,to drive
მეფუნაფა,mefunafa,to weld
ტაკინი,takini,to throw oneself
გოჭყოლადა,goWyolada,to forget
მეჩქუმალა,meCqumala,to dispatch
მიკოზიმაფა,mikozimafa,to measure
მეკოროცხუა,mekorocxua,for calcula to include tion
გეწურაფა,gewurafa,to indicate
მენთირუა,menTirua,to drag
ჭიუჭაუ,Wiu-Wau,rumour
მეთხუალა,meTxuala,to give as a wife
მიკოდინაფილი,mikodinafili,lost
მეჭალა,meWala,to sew
მიკოჭაბუა,mikoWabua,to stick
მიკომოკო,miko-moko,"to lie, to speak senselessly"
კინტურ,kintur-,senseless talk
მიკოწკარუა,mikowkarua,to tidy up
ხირხოლუა,xirxolua,to drag oneself
დალიება,dalieba,to fade away
მემაგურაფალი,memagurafali,imitator
მეგურაფა,megurafa,to catch a likeness
მიმინო,mimino,sparrow hawk
გილულა,gilula,traffic
მეჭარ,meWar-,correspondence
მიმალმუმალჷ,mimal-mumalL,many visitors
მემაღალარი,memaRalari,waitress
მახვამილაფარი,maxvamilafari,usurper
მიკოხვილუა,mikoxvilua,e.g. a cor to drive into ner
მიკმაჯინე,mikmajine,smb. who looks after smb
მეხვალამირი,mexvalamiri,smb. who guessed smth
მიკოხომაფილი,mikoxomafili,dried on
მიკოხუნელი,mikoxuneli,sitting at
სარკე,sarke,glass
შუშა,SuSa,glass
მესინთება,mesinTeba,to light up
მიკოსოფუა,mikosofua,to throw against
მიკოჭარილი,mikoWarili,postscript
მენდება,mendeba,to trust
მინდებული,mindebuli,entrusted
მებარებული,mebarebuli,entrusted
მინდორი,mindori,field
სარკეჯგუა,sarkejgua,glassy
სარკეცალი,sarkecali,glassy
მინიშანება,miniSaneba,to indicate
მეტყობუა,metyobua,to sneak up to
მირონი,mironi,chrism
მირონსუმალირი,mironsumaliri,christened
მეგამა,megama,to strike
მირქმა,mirqma,Candlemas
მიკოციკაფა,mikocikafa,to nail
მიკაკირალი,mikakirali,to be fastened
მიოთითებელი,mioTiTebeli,to be indicated
მიკანწყუალი,mikanwyuali,to be cleaned
სალამიშ,salamiS,to greet
გომორძგუაშ,gomorZguaS,to greet
მიოხვამალი,mioxvamali,congratulatory
მენარღება,menarReba,condolence
მენცარი,mencari,oracle
მიონარღებელი,mionarRebeli,to be condoled
მიოულარი,mioulari,access
ოპატიებელი,opatiebeli,pardonable
მიოღებელი,mioRebeli,reception
მიოჸონაფალი,mioYonafali,to be taken
მიოჭარალი,mioWarali,to be written
მიკაჯინალი,mikajinali,to be cared for
მუშობური,muSoburi,peculiar to him/her/it
ციმინაფა,ciminafa,to hound
მეულა,meula,to go
თიში,TiSi,his/her/its
მუშ,muS,his/her relative
მუშიანი,muSiani,his/her relative
მიკოხარცქუა,mikoxarcqua,to collide
მეწურაფა,mewurafa,to teach somewhere
მეჭიშაფა,meWiSafa,to outstrip
მირცხალი,mircxali,4.25 grams; wee quantity of smth
პუწკი,puwki,4.25 grams; wee quantity of smth
მირცხალ,mircxal-,by the wee quantity of smth
მიკობუმა,mikobuma,to splash to smb./smth
გინოშოლუა,ginoSolua,to sprinkle at smb./ smth
მესაჯება,mesajeba,to sentence
მეღალა,meRala,to bring
მიდაღალა,midaRala,to capture
პატიება,patieba,to forgive
პირკალი,pirkali,calico
მიკოჭაბაფა,mikoWabafa,to stick to
მეტება,meteba,to abandon
მეტებული,metebuli,abandoned
ელაზიმაფა,elazimafa,to measure
დორთინა,dorTina,to turn
მეტყურაფა,metyurafa,"to, into to lure"
ართიანიშა,arTianiSa,to put together
უშულუ,uSulu,inaccessible
უმულუობა,umuluoba,"absence, to fail to visit"
მიქირება,miqireba,to rent
მიკოჯინა,mikojina,to pay attention
მეღება,meReba,to receive
მელე,mele,beyond
მეჭირინაფა,meWirinafa,to reach
მიკორინა,mikorina,to put near
მეჸონაფა,meYonafa,to take
მეჸიდირი,meYidiri,to sell to smb
მეჸუნა,meYuna,to follow
მიკორღვაფა,mikorRvafa,to hurl
მიკოპონუა,mikoponua,to lean
მიკოპონუა,mikoponua,to lean on
მიკოჸურშუა,mikoYurSua,to nestle
მეშკუმალა,meSkumala,to allow to approach
მეჭოფაფა,meWofafa,to stretch out
ჩქარა,Cqara,to rush to
მერჩქინა,merCqina,to assign
მიწყნარება,miwynareba,to silence
მეჩამა,meCama,to give
ღურელი,Rureli,dead
მეცუმა,mecuma,to rush at
მეცილება,mecileba,to escort
მეჩოჩუა,meCoCua,to crawl
მიკორულაფა,mikorulafa,to lull smb. to sleep
მეჯღონა,mejRona,to dedicate
მერძღაფა,merZRafa,to eat to satiety
დიხა,dixa,land
დიხაშ,dixaS,Jerusalem artichoke
მიკოჭაბუა,mikoWabua,to glue to smb./smth
მეჭარუა,meWarua,to write to smb
დიხამი,dixami,earthy
დიხაშ,dixaS,overground
დიხაშთუდონი,dixaSTudoni,underground
დიხაშნწალუა,dixaSnwalua,earthquake
მეჭირინაფა,meWirinafa,to give
მიკონჯირა,mikonjira,to lie down
მეწირადუა,mewiradua,to come to the end
გათება,gaTeba,last days
მიკოჭყვადუა,mikoWyvadua,towards smth. to rush towards
მიწყნარება,miwynareba,to calm down
მიკონჭირა,mikonWira,to press
მიკოჭყანჭყუა,mikoWyanWyua,to crush
მიკოლუაფა,mikoluafa,to look after
მიკოხარცქუა,mikoxarcqua,to hit
მეხვალამა,mexvalama,to guess
მეხვამილაფირი,mexvamilafiri,guessed
მიკორთა,mikorTa,to turn
მოხვარა,moxvara,to help
მიკოხომაფა,mikoxomafa,to dry on
მეხოხინი,mexoxini,to crawl
მევინტუა,mevintua,to screw
მიკოსხაპუა,mikosxapua,to jump on
მელაფა,melafa,to attack
მეკილუა,mekilua,to close
მიკოხუტოლაფა,mikoxutolafa,to hug
მეჯგვაჯგვაფა,mejgvajgvafa,to hit
კელუა,kelua,to reap
მკაცრი,mkacri,strict
კონწარი,konwari,rough
ბაქია,baqia,boastful
ბეთქიე,beTqie,boastful
კვიდრი,kvidri,inhabitant
კვირცხი,kvircxi,very mobile
კვირჩხალი,kvirCxali,very mobile
მაჸვილარი,maYvilari,killer
მარკიალი,markiali,e.g. a child or shrieking a woman
მაკითხობა,makiTxoba,divination
კილე,kile,arm
უღორონთო,uRoronTo,smb. who commits sacrilege
უღორონთობა,uRoronToba,sacrilege
მეწამალე,mewamale,doctor
წყითე,wyiTe,too salty
მალასირალი,malasirali,plasterer
მახვამალი,maxvamali,prayer
მოარზება,moarzeba,to consider
მეფერია,meferia,caressing
მოდიარე,modiare,grazing
მობონუა,mobonua,to wash
მობანე,mobane,person who sings bass
ბანიშ,baniS,person who sings bass
დუდიშ,dudiS,to be bored
მორჩინაფა,morCinafa,to grow old
მახორუ,maxoru,inhabitant
მობუნაფა,mobunafa,to hitch to
მორღვაფა,morRvafa,to scatter
მიკორთინაფა,mikorTinafa,to turn
მოზოჯუა,mozojua,to take smb./smth. with honor
მოღვანკუა,moRvankua,to shrivel
მობირძღაფა,mobirZRafa,to grasp at
მოჸოთამა,moYoTama,to throw
მოგება,mogeba,to win
ეწოზადინაფა,ewozadinafa,to meet
დოთხინაფა,doTxinafa,to repulse
მოქოსუა,moqosua,to sweep
თური,Turi,person who has the same surname
მოგვარება,mogvareba,to solve
მოგვიანოთ,mogvianoT,later
გვიან,gvian,later
მოჸონაფა,moYonafa,to take smb./smth. to
მოჩქვაფა,moCqvafa,to send to
ბარბანჩია,barbanCia,flaming
მოგაფა,mogafa,to find
გოშინა,goSina,to remember
შაყარუა,Sayarua,to gather
ელაგინძია,elaginZia,longish
მადებელი,madebeli,plaintiff
ჯიში,jiSi,descendants
ნარქი,narqi,descendants
მორაჸუა,moraYua,is said to drive home about cattle
მოვარჭე,movarWe,trader
მოვარჩხილერი,movarCxileri,silver-plated
მუკოლუაფა,mukoluafa,to take care
ჯღვაბუა,jRvabua,to grasp
ომორდუალე,omorduale,teenager
მარდუ,mardu,teenager
მოზარე,mozare,weeping and grieving relative at funeral
მოზვერა,mozvera,bullock
მონთირუა,monTirua,to bring
მოზიმაფა,mozimafa,to try on
დუდკოჩი,dudkoCi,organizer
მოთება,moTeba,to finish
მორაგადაფა,moragadafa,to consult
მეთვათვაფა,meTvaTvafa,to stroke gentle
მოლაჸაფე,molaYafe,player
ხენდუა,xendua,to tame
მოცალუა,mocalua,to scythe
მოთოლუა,moTolua,to cut off
მოთვინება,moTvineba,to tolerate
მოთხუალა,moTxuala,to demand
მონთხორუა,monTxorua,to uproot
მოკვაკუა,mokvakua,to crook
კრიალა,kriala,blinking
მაკარნახებელი,makarnaxebeli,smb. who is dictating
ბარჩხალია,barCxalia,bright
მოცხაბარუა,mocxabarua,to scratch
ნათესე,naTese,well-wisher
კერძი,kerZi,well-wisher
მონტება,monteba,to light a fire
მოკითხირი,mokiTxiri,to give regards to smb
მოჩხუბე,moCxube,quarrelsome
მოკარკაცე,mokarkace,laughing
კუნტა,kunta,short
კულე,kule,short
მორდება,mordeba,modesty
მოპუხუა,mopuxua,to bend
გილმატირკონე,gilmatirkone,jumping
მორაჸუა,moraYua,e.g. cattle to drive home
აწოძირაფა,awoZirafa,to see an apparition
მორაგადე,moragade,speaker
ლაქლაქა,laqlaqa,chatterer
მალაღური,malaRuri,oriole
მოლაბაშე,molabaSe,chatterer
სქილადა,sqilada,to bear a child
მოჩქუმალა,moCqumala,to strengthen
მომარდიელება,momardieleba,to win smb.'s favour
მაღურუ,maRuru,dying
მოპიჩვანე,mopiCvane,fasting
მეძინა,meZina,to add
მომაღალო,momaRalo,a little bit high
მუმაგონებელი,mumagonebeli,reminder
მერინელი,merineli,standing near smb./ smth
უკულიანი,ukuliani,next
მონდურე,mondure,disapproving
მონდურება,mondureba,to quarrel
მუკმალუაფარი,mukmaluafari,caregiver
მომზადება,momzadeba,to prepare
მაჯინე,majine,looking
მუმათხუალი,mumaTxuali,exacting
მოფოხაფა,mofoxafa,to excuse
მოხურგე,moxurge,neighboring
მარხინებელი,marxinebeli,"a person, who likes feasts"
მუმანელებერი,mumaneleberi,digestive
მახინჯი,maxinji,thief
მორგვალება,morgvaleba,to round
მუმარიებელი,mumariebeli,smb. who excels
